"id","username","location","relationship_type","target"
264,"adalyntinsley","","following","aerovets"
265,"tacticalchicken","Foristell,Missouri","following","aerovets"
266,"lonestarlady","Texas","following","aerovets"
267,"uriahthehittite","","following","aerovets"
268,"addisonkensley","","following","aerovets"
269,"pinbuster03","Maryland","following","aerovets"
270,"greatyong","New Federal State of China","follower","truthseeker1_4u"
271,"williamruss244","California","follower","truthseeker1_4u"
272,"dawwger67","State of Jefferson","follower","truthseeker1_4u"
273,"45trump45","","follower","truthseeker1_4u"
274,"ullbergrose014","","follower","truthseeker1_4u"
275,"usalu","","follower","truthseeker1_4u"
276,"genesismary","","follower","truthseeker1_4u"
277,"lzlgjun","大陆","follower","truthseeker1_4u"
278,"donnahibbs89","michigan lansing","follower","truthseeker1_4u"
279,"baixuebingqing1","","follower","truthseeker1_4u"
280,"zhihuihai","日本","follower","truthseeker1_4u"
281,"pompeyforever68","","follower","truthseeker1_4u"
282,"sophiajames4331542","Washington States","follower","truthseeker1_4u"
283,"qiosp","Pakistan","follower","truthseeker1_4u"
284,"stephaniedavis","Tennessee Knoxville","follower","truthseeker1_4u"
285,"truthbetold4u","Virginia Beach, VA","follower","truthseeker1_4u"
286,"christianmary360","","follower","truthseeker1_4u"
287,"nowimpshere","Boring, TN","follower","truthseeker1_4u"
288,"annienicho22","Florida","follower","truthseeker1_4u"
289,"maddyn","","follower","truthseeker1_4u"
290,"janetlopez778","","follower","truthseeker1_4u"
291,"apache4","","follower","truthseeker1_4u"
292,"jesus234","Queens, NY","follower","truthseeker1_4u"
293,"jm9204191","St Augustine Florida","follower","truthseeker1_4u"
294,"samgmcnamee","ohio","follower","truthseeker1_4u"
295,"andy31120975","","follower","truthseeker1_4u"
296,"underdog1776","Long Island New York 👍","follower","truthseeker1_4u"
297,"romancat13","Elgin,TX","follower","truthseeker1_4u"
298,"face2face","","follower","truthseeker1_4u"
299,"gotraderann","","follower","truthseeker1_4u"
300,"place_0449","","follower","truthseeker1_4u"
301,"catherineng","Los Angeles, California","follower","truthseeker1_4u"
302,"kath6969","","follower","truthseeker1_4u"
303,"keithcash","Montevallo Alabama","follower","truthseeker1_4u"
304,"hxdf2021","","follower","truthseeker1_4u"
305,"rlwolf9999","West Central Florida","follower","truthseeker1_4u"
306,"maratracy","California","follower","truthseeker1_4u"
307,"gideonman85","Spain","follower","truthseeker1_4u"
308,"johnsanchez7784","","follower","truthseeker1_4u"
309,"forfreedom","","follower","truthseeker1_4u"
310,"allenfr200","Nashville Tennessee","follower","truthseeker1_4u"
311,"zeeemedia23","TX USA","follower","truthseeker1_4u"
312,"karli_4500","","follower","truthseeker1_4u"
313,"susanmore241067","","follower","truthseeker1_4u"
314,"trumpvvon_5340","","follower","truthseeker1_4u"
315,"tammyrichardson920","United States","follower","truthseeker1_4u"
316,"amymark719","","follower","truthseeker1_4u"
317,"markrobinson4457","","follower","truthseeker1_4u"
318,"slatulippemd","Arizona","follower","truthseeker1_4u"
319,"natalielions","🇺🇸 (bottom of da boot)","follower","truthseeker1_4u"
320,"truthbetold4u","Virginia Beach, VA","following","truthseeker1_4u"
321,"skypilot195","Montana","following","truthseeker1_4u"
322,"allenfr200","Nashville Tennessee","following","truthseeker1_4u"
323,"apache4","","following","truthseeker1_4u"
324,"gettr","New York, NY","following","truthseeker1_4u"
325,"rangerjimb1","Richmond VA","following","truthseeker1_4u"
326,"dorm123","New federal state of China","following","truthseeker1_4u"
327,"repelicrane","Arizona, USA","following","truthseeker1_4u"
328,"primordialwolf","","following","truthseeker1_4u"
329,"repbobgood","","following","truthseeker1_4u"
330,"stockes76","Old Virginny","following","truthseeker1_4u"
331,"drdrew","Pasadena, CA","following","truthseeker1_4u"
332,"flaviobolsonaro","Rio de Janeiro","following","truthseeker1_4u"
333,"mike4824","","following","truthseeker1_4u"
334,"ethicalskeptic","USA","following","truthseeker1_4u"
335,"dc_draino","Tampa, FL","following","truthseeker1_4u"
336,"dr_cbyron","HAWAII 🌺IDAHO 🇺🇸ISRAEL 🇮🇱","following","truthseeker1_4u"
337,"kofa1","RGV (Little México) Texas","following","truthseeker1_4u"
338,"bluesky299","","following","truthseeker1_4u"
339,"bwhalin","The Great American Southwest","following","truthseeker1_4u"
340,"repclayhiggins","","following","truthseeker1_4u"
341,"judgecarter","Texas' 31st Cong District","following","truthseeker1_4u"
342,"lsanger","LarrySanger.org","following","truthseeker1_4u"
343,"amandahead","Los Angeles","following","truthseeker1_4u"
344,"miles_seven","Himalaya Canada Red Leaf Farm","following","truthseeker1_4u"
345,"1315glidepath","TX-FL-CA-JAPAN- GERMANY","following","truthseeker1_4u"
346,"amazingvideo","","following","truthseeker1_4u"
347,"labmadepenguin","West Yorkshire, England","following","truthseeker1_4u"
348,"vogue","","following","truthseeker1_4u"
349,"pamelageller","","following","truthseeker1_4u"
350,"enjoyingtheshow","AMERICA","following","truthseeker1_4u"
351,"michaellclark","World Wide","following","truthseeker1_4u"
