username,location,relationship_type,target
robocop1,"Alberta, Canada",follower,moger4
astokalosou,PLANET ΓΗ,follower,moger4
macpatriot,,follower,moger4
easbel51,,follower,moger4
davidryan45,chattanooga,follower,moger4
tigger10,,follower,moger4
donnalouiseb,United Kingdom,follower,moger4
karen_lovejoy,Commiefornia hi dez,follower,moger4
sunnyrealist121,,follower,moger4
smylnatu,,follower,moger4
patricatd,🇺🇸,follower,moger4
bradpitt71100,USA,follower,moger4
jessi_4669,,follower,moger4
stinkyjoe46,S/E Texas,follower,moger4
annapaulmp4,,follower,moger4
slssoares,,follower,moger4
leannefx,Redwood City California,follower,moger4
bethelle,USA,follower,moger4
fifi007,,follower,moger4
travelman2468,,follower,moger4
tymeandagain,,follower,moger4
blessingomozokpia,United state,follower,moger4
allysonelly,,follower,moger4
ht5678k7l3,,follower,moger4
kingattila,,follower,moger4
cruor,,follower,moger4
westlondon,London,follower,moger4
ss8063324,Redwood City California,follower,moger4
magritte,"Arizona, USA",follower,moger4
patj53,Florida USA,follower,moger4
mermaid26,"Medford, New York Suffolk",follower,moger4
adam_chandler,,follower,moger4
attentiveowl,,follower,moger4
consfighters,,follower,moger4
benitamary559,United state,follower,moger4
angierose,,follower,moger4
karenfoo,Singapore 🇸🇬,follower,moger4
silvermaeday58,Georgia,follower,moger4
tutuer,,follower,moger4
wiseoldsage,,follower,moger4
dragoneyes001,,follower,moger4
rosewilson,Louisville Kentucky,follower,moger4
papa_k_59,florida,follower,moger4
rf_jenkins,🇬🇧,follower,moger4
jojomalone,Tel Aviv,follower,moger4
robertmullins,,follower,moger4
deadwood71,,follower,moger4
greensessions,Ireland,follower,moger4
deanpompey84,Portsmouth city uk,follower,moger4
gartrel,,follower,moger4
jasonblack,Boston-Deep behind enemy lines,follower,moger4
purebloodpatriottruth,USA,follower,moger4
lrene05,united state,follower,moger4
mercuriak,,follower,moger4
benboben,England,follower,moger4
cash7,the moon,follower,moger4
bobcopper67,"Grand Coulee Wash,",follower,moger4
deadeyedaddy,SoCal,follower,moger4
marlenelundquist1946,Minnesota,follower,moger4
annieloof,,follower,moger4
jungdavfamily,ND,follower,moger4
eminem123,I follow back👌,follower,moger4
tobrien3000,Communist California,follower,moger4
thisismelody,Florida,follower,moger4
ewafbuiglan,USA,follower,moger4
bazza1,ENGLAND ...,follower,moger4
dorothy_1972,,follower,moger4
smattacc1,Florida..“Land of the FREE”!!,follower,moger4
jshevvshsu,,follower,moger4
juliettewright,Boston 	Massachusetts,follower,moger4
grace05,,follower,moger4
portuguese30440,United State of America,follower,moger4
schubidoo,Kentucky,follower,moger4
alexanderwu,212245,follower,moger4
kenseidner,WV-Ohio,follower,moger4
operationfollow,⬇️Join @OHMichael’s Meme Group,follower,moger4
ingodwetrustuk,England,follower,moger4
joner1066,Sheffield,follower,moger4
lifeintheuk,,follower,moger4
spankyurass,ohio,follower,moger4
camelpiss,,follower,moger4
ridetoday730,,follower,moger4
seewetoldu2,,follower,moger4
philt66,Unterirdisch,follower,moger4
