term,language,offense_level,sightings_number
lugans,English,-,12.0
dinge,English,Highly offensive,12.0
dune nigger,English,Extremely offensive,12.0
raghead,English,Extremely offensive,12.0
gyppie,English,Extremely offensive,12.0
ricepicker,English,Highly offensive,12.0
halalification,English,Extremely offensive,11.0
Velcro heads,English,-,11.0
carrot snappers,English,-,11.0
bamboo coon,English,Extremely offensive,11.0
derka derkas,English,-,11.0
gypoes  ,English,-,11.0
gyp,English,Highly offensive,11.0
Gwat,English,Extremely offensive,11.0
gooky eyes,English,-,11.0
tinkere,English,Extremely offensive,10.0
cow kissers,English,Highly offensive,10.0
Caublasians,English,-,10.0
gookettes  ,English,-,10.0
spice nigger,English,Extremely offensive,10.0
tinkar,English,Moderately offensive,10.0
yellow invaders,English,-,10.0
pickinniny,English,-,10.0
whoriental,English,-,10.0
jewtarded,English,Extremely offensive,10.0
semiholes,English,-,9.0
niggerdicks,English,-,9.0
border nigger,English,Extremely offensive,9.0
taco niggers,English,-,9.0
batimen,English,-,9.0
hodgies,English,-,9.0
camel cowboys,English,-,9.0
Honyock,English,Highly offensive,9.0
carrot snapper,English,Highly offensive,9.0
chimp pack,English,Extremely offensive,9.0
dingo fuckers,English,-,8.0
bog jumpers,English,Mildly offensive,8.0
Armo,English,Moderately offensive,8.0
canigger,English,Extremely offensive,8.0
jigarooni,English,Extremely offensive,8.0
tincker,English,Extremely offensive,8.0
wiggerettes,English,-,8.0
whitie,English,-,8.0
dyke jumpers,English,Mildly offensive,8.0
Rhineland bastard,English,Extremely offensive,8.0
gook eye,English,Extremely offensive,8.0
eh holes,English,-,8.0
wiggerette,English,Extremely offensive,8.0
smoked Irishman,English,Extremely offensive,7.0
timber niggers,English,-,7.0
flipettes  ,English,-,7.0
JihadiVirus,English,Extremely offensive,7.0
clamheads,English,Moderately offensive,7.0
ricepickers,English,-,7.0
ice niggers,English,-,7.0
uncircumcised baboons,English,-,7.0
cave niggers,English,Extremely offensive,7.0
Buddhahead,English,Highly offensive,6.0
Hooray Henriettas,English,-,6.0
burrheads,English,Highly offensive,6.0
clog wogs,English,Moderately offensive,6.0
shysters,English,-,6.0
gyppies,English,-,6.0
cairo coon,English,-,6.0
gender nigger,English,Extremely offensive,6.0
hatzi,English,-,6.0
filthypinos,English,-,6.0
sand niglets,English,-,6.0
hodgie,English,Highly offensive,6.0
spickish,English,Extremely offensive,6.0
Russellites,English,-,6.0
injun,English,Extremely offensive,6.0
buk buks,English,Moderately offensive,5.0
whorientals,English,-,5.0
nitchee,English,Highly offensive,5.0
sheister,English,Extremely offensive,5.0
WICs,English,-,5.0
ZOG lover,English,Extremely offensive,5.0
jew-fucker,English,Extremely offensive,5.0
chili shitters,English,-,5.0
chi chi men,English,-,5.0
Palestinkian,English,Mildly offensive,5.0
spice niggers,English,Extremely offensive,5.0
da goyim know,English,-,4.0
Hunyaks,English,-,4.0
carrot snap,English,-,4.0
carrot snaps  ,English,-,4.0
chi chi,English,Extremely offensive,4.0
Honyak,English,Extremely offensive,4.0
chili shitter,English,Highly offensive,4.0
chi chi bwoys,English,-,4.0
gub,English,Highly offensive,4.0
zhidovka,English,-,4.0
gin jockeys,English,-,4.0
sheisters,English,-,4.0
Chinese wetback,English,Extremely offensive,3.0
coonadians,English,-,3.0
machosexual,English,-,3.0
kotiya,English,Highly offensive,3.0
jigga,English,Extremely offensive,3.0
mud persons,English,-,3.0
jijjiboo,English,Extremely offensive,3.0
wiggers,English,-,3.0
ikey mo,English,Extremely offensive,3.0
Cushis,English,Mildly offensive,3.0
filthypino,English,Extremely offensive,3.0
ghetto hamsters,English,-,3.0
Russellite,English,Extremely offensive,3.0
Sheltas,English,-,3.0
sideways cooters,English,-,3.0
ZOG lovers,English,-,3.0
retarded,English,Moderately offensive,3.0
neechees,English,-,3.0
beach niggers,English,-,3.0
gook eyed,English,-,3.0
fagdick,English,-,3.0
brass ankle,English,Highly offensive,3.0
buk buk,English,Moderately offensive,3.0
gyppoes  ,English,-,3.0
Honyaks,English,-,3.0
fog nigger,English,Extremely offensive,2.0
dagowop,English,Extremely offensive,2.0
dogan,English,Extremely offensive,2.0
four by two,English,Highly offensive,2.0
dune niggers,English,Extremely offensive,2.0
spook,English,Extremely offensive,2.0
cunt,English,Extremely offensive,2.0
pickinninys,English,-,2.0
Hunyock,English,Extremely offensive,2.0
smoked Irishmen,English,-,2.0
Ubangee,English,Highly offensive,2.0
sand nips,English,-,2.0
quashies,English,-,2.0
proddywoddy,English,Highly offensive,2.0
bean dippers,English,Mildly offensive,2.0
nitchies,English,-,2.0
jigros,English,Extremely offensive,2.0
brass ankles,English,-,2.0
Hoorah Henries,English,-,2.0
camel jacker,English,Extremely offensive,2.0
camel jackers,English,-,2.0
moulignons,English,-,2.0
cholo chaser,English,Highly offensive,2.0
kikesberg,English,Extremely offensive,2.0
ABCs,English,Mildly offensive,2.0
6 gorillion,English,Highly offensive,
ABC,English,Mildly offensive,
Aunt Jemima,English,Mildly offensive,
Freḥa,English,-,
Gwats,English,-,
Hoorah Henrietta,English,-,
Hunyocks,English,-,
QuranoVirus,English,-,
Rhine monkey,English,Moderately offensive,
albino,English,Mildly offensive,
ape,English,Extremely offensive,
bamboo coons,English,-,
banana lander,English,Mildly offensive,
bans and cans,English,Moderately offensive,
beaner shnitzel,English,Extremely offensive,
buckethead,English,Highly offensive,
buckrette,English,-,
cab nigger,English,Extremely offensive,
cab niggers,English,Highly offensive,
cairo coons,English,-,
can eaters,English,-,
chug,English,Highly offensive,
dagowops,English,Extremely offensive,
degettes  ,English,-,
doguns,English,-,
eight ball,English,Extremely offensive,
fish wagon,English,Moderately offensive,
flipabeanos,English,Moderately offensive,
fog niggers,English,-,
fruit,English,Moderately offensive,
gay,English,Extremely offensive,
ginger,English,Mildly offensive,
gingette,English,-,
gingettes  ,English,-,
gookette,English,Extremely offensive,
jit,English,Moderately offensive,
leprechaun,English,Highly offensive,
muk,English,Highly offensive,
muzzpig,English,Extremely offensive,
ned,English,Extremely offensive,
net head,English,Highly offensive,
nigger-knock,English,Extremely offensive,
proddywhoddies,English,-,
proddywhoddy,English,Highly offensive,
proddywoddies,English,Highly offensive,
roofuckers,English,Extremely offensive,
sand niggerette,English,Extremely offensive,
sand nip,English,Extremely offensive,
sawnies,English,-,
sideways cooter,English,Extremely offensive,
skank,English,Moderately offensive,
sooty,English,Highly offensive,
spicspeak,English,Extremely offensive,
tenkers,English,-,
tinkard,English,Extremely offensive,
tynekere,English,Extremely offensive,
zhydovka,English,-,
zigabos,English,Moderately offensive,
