term,language,offense_level,sightings_number
plastic paddy,English,Extremely offensive,571.0
mud duck,English,Extremely offensive,571.0
fezzes,English,-,570.0
niggar,English,Extremely offensive,569.0
slant eye,English,Extremely offensive,568.0
spics,English,Highly offensive,565.0
gator bait,English,Highly offensive,564.0
Fenian,English,-,563.0
moulie,English,Extremely offensive,563.0
hayseeds,English,-,559.0
Christ killers,English,-,558.0
squaws,English,Extremely offensive,558.0
moxies,English,-,557.0
Fenians,English,-,555.0
niggas,English,Mildly offensive,553.0
mosshead,English,Highly offensive,547.0
spick,English,Extremely offensive,545.0
spicks,English,Highly offensive,543.0
libtard,English,Mildly offensive,543.0
charver,English,Highly offensive,541.0
yokel,English,Highly offensive,538.0
paleface,English,Moderately offensive,537.0
white trash,English,Moderately offensive,534.0
bog trotters,English,Extremely offensive,530.0
mulatto,English,Extremely offensive,529.0
moon crickets,English,Extremely offensive,524.0
globalists,English,-,522.0
fagbag,English,Extremely offensive,517.0
dole bludger,English,Extremely offensive,517.0
squaw,English,Extremely offensive,516.0
gopniks,English,-,514.0
cracker,English,Mildly offensive,513.0
faggy,English,Extremely offensive,510.0
Masshole,English,-,509.0
bull dyke,English,-,509.0
niggurs,English,-,507.0
sideways vagina,English,Extremely offensive,507.0
nigga,English,Highly offensive,502.0
booner,English,Highly offensive,500.0
golliwogs,English,-,497.0
Argies,English,-,496.0
piccaninny,English,-,494.0
Anglos,English,-,493.0
banana benders,English,Mildly offensive,492.0
Northern monkeys,English,-,491.0
chink,English,Extremely offensive,489.0
gooky,English,Extremely offensive,488.0
chavs,English,-,485.0
ofays,English,-,483.0
dhimmis,English,Extremely offensive,481.0
yobbos,English,-,478.0
piccaninnies,English,-,477.0
wagon burner,English,Extremely offensive,474.0
sand monkey,English,Highly offensive,471.0
gypsies,English,-,470.0
nigguhs,English,Extremely offensive,461.0
camel humper,English,Extremely offensive,460.0
camel fuckers,English,Extremely offensive,459.0
wop,English,Highly offensive,458.0
closet fag,English,Extremely offensive,457.0
nigglets,English,-,455.0
moon cricket,English,Extremely offensive,454.0
heeb,English,Highly offensive,452.0
palefaces,English,Moderately offensive,450.0
holohoax,English,Extremely offensive,450.0
bug eaters,English,-,449.0
sideways pussy,English,Extremely offensive,447.0
Hooray Henry,English,Mildly offensive,446.0
guala,English,Extremely offensive,445.0
guidette,English,Highly offensive,445.0
banana bender,English,Mildly offensive,443.0
papist,English,Extremely offensive,442.0
Chinamen,English,-,439.0
nips,English,-,438.0
halfrican,English,Highly offensive,437.0
rube,English,Moderately offensive,437.0
eyetie,English,Highly offensive,437.0
Congoids,English,-,436.0
sambos,English,-,435.0
cunts,English,Extremely offensive,432.0
yokels,English,Moderately offensive,431.0
bitch,English,Moderately offensive,428.0
yard ape,English,Extremely offensive,428.0
scally,English,Extremely offensive,428.0
halfricans,English,Extremely offensive,424.0
jiggabo,English,Extremely offensive,422.0
border jumper,English,Highly offensive,422.0
